week,home_team,away_team,home_odds,away_odds,home_spread,away_spread
12,Buffalo Bulls,Ball State Cardinals,-210,175,-6.0,6.0
12,Bowling Green Falcons,Western Michigan Broncos,-305,240,-8.0,8.0
12,Toledo Rockets,Central Michigan Chippewas,-550,400,-14.5,14.5
12,Northern Illinois Huskies,Akron Zips,-1000,600,-16.5,16.5
12,Ohio Bobcats,Eastern Michigan Eagles,-335,255,-7.5,7.5
12,Miami (OH) RedHawks,Kent State Golden Flashes,-9000,2200,-31.0,31.0
12,Tulsa Golden Hurricane,East Carolina Pirates,350,-480,13.5,-13.5
12,Colorado State Rams,Wyoming Cowboys,-385,295,-10.5,10.5
12,UTSA Roadrunners,North Texas Mean Green,-105,-115,2.5,-2.5
12,Washington Huskies,UCLA Bruins,-167,135,-3.5,3.5
12,Arizona Wildcats,Houston Cougars,-125,105,-2.5,2.5
12,Arkansas Razorbacks,Texas Longhorns,550,-910,15.5,-15.5
12,Pittsburgh Panthers,Clemson Tigers,260,-335,10.5,-10.5
12,Colorado Buffaloes,Utah Utes,-375,280,-9.5,9.5
12,UMass Minutemen,Liberty Flames,360,-480,14.5,-14.5
12,Western Kentucky Hilltoppers,Louisiana Tech Bulldogs,-580,420,-13.5,13.5
12,Navy Midshipmen,Tulane Green Wave,185,-225,6.5,-6.5
12,Northwestern Wildcats,Ohio State Buckeyes,2200,-8000,32.5,-32.5
12,Auburn Tigers,UL Monroe Warhawks,-2400,1150,-23.5,23.5
12,Marshall Thundering Herd,Coastal Carolina Chanticleers,-320,250,-9.5,9.5
12,Temple Owls,Florida Atlantic Owls,-120,100,-2.5,2.5
12,Jacksonville State Gamecocks,Florida International Panthers,-550,400,-13.5,13.5
12,Illinois Fighting Illini,Michigan State Spartans,-165,140,-3.5,3.5
12,California Golden Bears,Syracuse Orange,-260,210,-7.5,7.5
12,Utah State Aggies,Hawaii Rainbow Warriors,104,-125,2.5,-2.5
12,Kennesaw State Owls,Sam Houston State Bearkats,400,-550,12.5,-12.5
12,Air Force Falcons,Oregon State Beavers,155,-188,4.5,-4.5
12,SMU Mustangs,Boston College Eagles,-700,500,-15.5,15.5
12,Charlotte 49ers,South Florida Bulls,140,-165,3.5,-3.5
12,Florida Gators,LSU Tigers,146,-178,5.5,-5.5
12,Georgia Bulldogs,Tennessee Volunteers,-375,290,-9.5,9.5
12,Stanford Cardinal,Louisville Cardinals,800,-1400,19.5,-19.5
12,Notre Dame Fighting Irish,Virginia Cavaliers,-1700,950,-22.5,22.5
12,Purdue Boilermakers,Penn State Nittany Lions,2200,-15000,28.5,-28.5
12,West Virginia Mountaineers,Baylor Bears,105,-125,-1.5,1.5
12,Georgia Southern Eagles,Troy Trojans,-335,260,-7.5,7.5
12,Old Dominion Monarchs,James Madison Dukes,158,-190,4.5,-4.5
12,USC Trojans,Nebraska Cornhuskers,-335,260,-9.5,9.5
12,South Carolina Gamecocks,Missouri Tigers,-835,540,-13.5,13.5
12,Georgia State Panthers,Arkansas State Red Wolves,-114,-105,-1.5,1.5
12,Maryland Terrapins,Rutgers Scarlet Knights,-178,150,-4.5,4.5
12,Kansas State Wildcats,Arizona State Sun Devils,-335,250,-8.5,8.5
12,San Jose State Spartans,Boise State Broncos,400,-550,13.5,-13.5
12,Louisiana Ragin Cajuns,South Alabama Jaguars,-305,240,-7.5,7.5
12,Texas State Bobcats,Southern Mississippi Golden Eagles,-4500,1550,-27.5,27.5
12,Wisconsin Badgers,Oregon Ducks,420,-580,13.5,-13.5
12,Iowa State Cyclones,Cincinnati Bearcats,-275,215,-7.5,7.5
12,Memphis Tigers,UAB Blazers,-690,480,-15.5,15.5
12,North Carolina Tar Heels,Wake Forest Demon Deacons,-365,285,-10.5,10.5
12,New Mexico Lobos,Washington State Cougars,460,-650,13.5,-13.5
12,BYU Cougars,Kansas Jayhawks,-157,128,-3.5,3.5
12,UNLV Rebels,San Diego State Aztecs,-1700,890,-19.5,19.5
